WriteRestartFile checkpoint layout, derived from rosco/controller/src/ROSCO_IO.f90
  items (WRITE statements): 307
  ACC_INFILE extent read from the file: 45
  predicted total bytes: 460813
  vit_chkp36100.RO.chkp: 460813 bytes
  LAYOUT CHECK: PASS

CENSUS over 195 reference checkpoint(s) in pre
  distinct file lengths: [460813]
  laid out with this table: 195 of 195  (the rest have a different ACC_INFILE extent)
  VARIES across the corpus : 180
  constant and NON-zero    : 31
  constant and ZERO        : 96   <- no mutant that only moves one of these can die here

  offset   size state      item
     1757     16 VARIES     LocalVar%AWC_complexangle(2)
     1773     16 VARIES     LocalVar%AWC_complexangle(3)
     1789      8 const-zero LocalVar%TiltMean
     1797      8 const-zero LocalVar%YawMean
     1805      4 const-zero LocalVar%ZMQ_ID
     1809      8 const-zero LocalVar%ZMQ_YawOffset
     1817      8 const-zero LocalVar%ZMQ_TorqueOffset
     1825      8 const-zero LocalVar%ZMQ_PitOffset(1)
     1833      8 const-zero LocalVar%ZMQ_PitOffset(2)
     1841      8 const-zero LocalVar%ZMQ_PitOffset(3)
     1849      8 const-zero LocalVar%ZMQ_R_Speed
     1857      8 const-zero LocalVar%ZMQ_R_Torque
     1865      8 const-zero LocalVar%ZMQ_R_Pitch
     1873      8 VARIES     LocalVar%WE%om_r
     1881      8 VARIES     LocalVar%WE%v_t
     1889      8 VARIES     LocalVar%WE%v_m
     1897      8 VARIES     LocalVar%WE%v_h
     1905     72 VARIES     LocalVar%WE%P
     1977     24 VARIES     LocalVar%WE%xh
     2001     24 VARIES     LocalVar%WE%K
     2025   8192 VARIES     LocalVar%FP%lpf1_a1
    10217   8192 VARIES     LocalVar%FP%lpf1_a0
    18409   8192 VARIES     LocalVar%FP%lpf1_b1
    26601   8192 VARIES     LocalVar%FP%lpf1_b0
    34793   8192 VARIES     LocalVar%FP%lpf1_InputSignalLast
    42985   8192 VARIES     LocalVar%FP%lpf1_OutputSignalLast
    51177   8192 const      LocalVar%FP%lpf2_a2
    59369   8192 const      LocalVar%FP%lpf2_a1
    67561   8192 const      LocalVar%FP%lpf2_a0
    75753   8192 const      LocalVar%FP%lpf2_b2
    83945   8192 const      LocalVar%FP%lpf2_b1
    92137   8192 const      LocalVar%FP%lpf2_b0
   100329   8192 VARIES     LocalVar%FP%lpf2_InputSignalLast2
   108521   8192 VARIES     LocalVar%FP%lpf2_OutputSignalLast2
   116713   8192 VARIES     LocalVar%FP%lpf2_InputSignalLast1
   124905   8192 VARIES     LocalVar%FP%lpf2_OutputSignalLast1
   133097   8192 VARIES     LocalVar%FP%lpfV_a2
   141289   8192 VARIES     LocalVar%FP%lpfV_a1
   149481   8192 VARIES     LocalVar%FP%lpfV_a0
   157673   8192 VARIES     LocalVar%FP%lpfV_b2
   165865   8192 const-zero LocalVar%FP%lpfV_b1
   174057   8192 VARIES     LocalVar%FP%lpfV_b0
   182249   8192 VARIES     LocalVar%FP%lpfV_InputSignalLast2
   190441   8192 VARIES     LocalVar%FP%lpfV_OutputSignalLast2
   198633   8192 VARIES     LocalVar%FP%lpfV_InputSignalLast1
   206825   8192 VARIES     LocalVar%FP%lpfV_OutputSignalLast1
   215017   8192 VARIES     LocalVar%FP%hpf_InputSignalLast
   223209   8192 VARIES     LocalVar%FP%hpf_OutputSignalLast
   231401   8192 VARIES     LocalVar%FP%nfs_OutputSignalLast1
   239593   8192 VARIES     LocalVar%FP%nfs_OutputSignalLast2
   247785   8192 VARIES     LocalVar%FP%nfs_InputSignalLast1
   255977   8192 VARIES     LocalVar%FP%nfs_InputSignalLast2
   264169   8192 VARIES     LocalVar%FP%nfs_b2
   272361   8192 VARIES     LocalVar%FP%nfs_b0
   280553   8192 VARIES     LocalVar%FP%nfs_a2
   288745   8192 VARIES     LocalVar%FP%nfs_a1
   296937   8192 VARIES     LocalVar%FP%nfs_a0
   305129   8192 VARIES     LocalVar%FP%nf_OutputSignalLast1
   313321   8192 VARIES     LocalVar%FP%nf_OutputSignalLast2
   321513   8192 VARIES     LocalVar%FP%nf_InputSignalLast1
   329705   8192 VARIES     LocalVar%FP%nf_InputSignalLast2
   337897   8192 const      LocalVar%FP%nf_b2
   346089   8192 const      LocalVar%FP%nf_b1
   354281   8192 const      LocalVar%FP%nf_b0
   362473   8192 const      LocalVar%FP%nf_a1
   370665   8192 const      LocalVar%FP%nf_a0
   378857   8192 VARIES     LocalVar%piP%ITerm
   387049   8192 VARIES     LocalVar%piP%ITermLast
   395241   8192 const-zero LocalVar%piP%ITerm2
   403433   8192 const-zero LocalVar%piP%ITermLast2
   411625   8192 const-zero LocalVar%piP%ELast
   419817   8192 VARIES     LocalVar%resP%res_OutputSignalLast1
   428009   8192 VARIES     LocalVar%resP%res_OutputSignalLast2
   436201   8192 VARIES     LocalVar%resP%res_InputSignalLast1
   444393   8192 VARIES     LocalVar%resP%res_InputSignalLast2
   452585   8192 VARIES     LocalVar%rlP%LastSignal
   460777      4 const      objInst%instLPF
   460781      4 const      objInst%instSecLPF
   460785      4 const      objInst%instSecLPFV
   460789      4 const      objInst%instHPF
   460793      4 VARIES     objInst%instNotchSlopes
   460797      4 const      objInst%instNotch
   460801      4 const      objInst%instPI
   460805      4 const      objInst%instRes
   460809      4 const      objInst%instRL
