reset,minValue,maxValue,error,kp,ki,kd,tf,DT,I0,EFilt,PTerm,ITerm_in,ITerm_upd,ITerm_sat,DTerm,raw,result
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,nan,-0,-997.95655349888716,-997.95655349888716,-997.95655349888716,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0,-300,300,-600,600,300,-600,nan,-0,-997.82267990300761,-997.82267990300761,-997.82267990300761,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,1,-300,300,-600,600,300,-600,nan,-300,-997.89126374966816,89002.108736250331,89002.108736250331,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,1,-300,300,-600,600,300,-600,1,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,1,-300,300,-600,600,300,-600,1,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,1,-300,300,-600,600,300,-600,1,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,1,-300,300,-600,600,300,-600,1,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-1,-300,300,-600,600,300,-600,-1,300,-998.02495252338679,-90998.024952523381,-90998.024952523381,-1993.7258647699737,-92691.750817293359,-92691.750817293359
1,-500000000.00050002,350000000.00064993,-1,-300,300,-600,600,300,-600,-1,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-1,-300,300,-600,600,300,-600,-1,300,-997.90823215162902,-90997.908232151633,-90997.908232151633,-1993.9976042420915,-92691.905836393722,-92691.905836393722
0,-500000000.00050002,350000000.00064993,-1,-300,300,-600,600,300,-600,nan,300,-998.00084966649763,-90998.000849666496,-90998.000849666496,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,-1,-300,300,-600,600,300,-600,nan,300,-997.90912079863915,-90997.909120798635,-90997.909120798635,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0.5,-300,300,-600,600,300,-600,nan,-150,-997.81168612383408,44002.188313876162,44002.188313876162,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,0.5,-300,300,-600,600,300,-600,0.5,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.5,-300,300,-600,600,300,-600,0.5,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.5,-300,300,-600,600,300,-600,0.5,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.5,-300,300,-600,600,300,-600,0.5,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-0.25,-300,300,-600,600,300,-600,nan,75,-997.97462289869691,-23497.974622898699,-23497.974622898699,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,-0.25,-300,300,-600,600,300,-600,-0.25,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-0.25,-300,300,-600,600,300,-600,-0.25,75,-997.94310640695824,-23497.943106406958,-23497.943106406958,-1995.3559160216257,-25418.299022428582,-25418.299022428582
0,-500000000.00050002,350000000.00064993,-0.25,-300,300,-600,600,300,-600,nan,75,-997.9354940190774,-23497.935494019079,-23497.935494019079,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,-0.25,-300,300,-600,600,300,-600,nan,75,-997.96922605608893,-23497.969226056088,-23497.969226056088,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,0.125,-300,300,-600,600,300,-600,0.125,-37.5,-997.80083530752574,10252.199164692474,10252.199164692474,-1996.2633164889005,8218.4358482035732,8218.4358482035732
1,-500000000.00050002,350000000.00064993,0.125,-300,300,-600,600,300,-600,0.125,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.125,-300,300,-600,600,300,-600,0.125,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.125,-300,300,-600,600,300,-600,0.125,nan,nan,nan,nan,nan,nan,-600
1,-500000000.00050002,350000000.00064993,0.125,-300,300,-600,600,300,-600,0.125,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-1000,-300,300,-600,600,300,-600,nan,300000,-997.83235490930508,-90000997.832354903,-90000997.832354903,nan,nan,-500000000.00050002
1,-500000000.00050002,350000000.00064993,-1000,-300,300,-600,600,300,-600,-1000,nan,nan,nan,nan,nan,nan,-600
0,-500000000.00050002,350000000.00064993,-1000,-300,300,-600,600,300,-600,-1000,300000,-998.040536432816,-90000998.040536433,-90000998.040536433,4.1558308940461757,-89700993.884705544,-89700993.884705544
0,-500000000.00050002,350000000.00064993,-1000,-300,300,-600,600,300,-600,nan,300000,-997.9580698891192,-90000997.958069891,-90000997.958069891,nan,nan,-500000000.00050002
0,-500000000.00050002,350000000.00064993,-1000,-300,300,-600,600,300,-600,nan,300000,-997.95903733661146,-90000997.959037334,-90000997.959037334,nan,nan,-500000000.00050002
